Episode	 Steps	 Score	 Best_Score	 Epsilon	
571	 250	 0.00	 0.97	 0.10	
572	 91	 0.67	 0.97	 0.10	
573	 250	 0.00	 0.97	 0.10	
574	 250	 0.00	 0.97	 0.10	
575	 45	 0.84	 0.97	 0.10	
576	 127	 0.54	 0.97	 0.10	
577	 250	 0.00	 0.97	 0.10	
578	 86	 0.69	 0.97	 0.10	
579	 109	 0.61	 0.97	 0.10	
580	 250	 0.00	 0.97	 0.10	
581	 125	 0.55	 0.97	 0.10	
582	 195	 0.30	 0.97	 0.10	
583	 55	 0.80	 0.97	 0.10	
584	 40	 0.86	 0.97	 0.10	
585	 250	 0.00	 0.97	 0.10	
586	 88	 0.68	 0.97	 0.10	
587	 204	 0.27	 0.97	 0.10	
588	 105	 0.62	 0.97	 0.10	
589	 250	 0.00	 0.97	 0.10	
590	 250	 0.00	 0.97	 0.10	
591	 250	 0.00	 0.97	 0.10	
592	 111	 0.60	 0.97	 0.10	
593	 99	 0.64	 0.97	 0.10	
594	 227	 0.18	 0.97	 0.10	
595	 45	 0.84	 0.97	 0.10	
596	 20	 0.93	 0.97	 0.10	
597	 84	 0.70	 0.97	 0.10	
598	 11	 0.96	 0.97	 0.10	
599	 54	 0.81	 0.97	 0.10	
600	 10	 0.96	 0.97	 0.10	
601	 9	 0.97	 0.97	 0.10	
602	 9	 0.97	 0.97	 0.10	
603	 250	 0.00	 0.97	 0.10	
604	 94	 0.66	 0.97	 0.10	
605	 250	 0.00	 0.97	 0.10	
606	 157	 0.43	 0.97	 0.10	
607	 72	 0.74	 0.97	 0.10	
608	 131	 0.53	 0.97	 0.10	
609	 250	 0.00	 0.97	 0.10	
610	 178	 0.36	 0.97	 0.10	
611	 248	 0.11	 0.97	 0.10	
612	 227	 0.18	 0.97	 0.10	
613	 250	 0.00	 0.97	 0.10	
614	 250	 0.00	 0.97	 0.10	
615	 250	 0.00	 0.97	 0.10	
616	 250	 0.00	 0.97	 0.10	
617	 250	 0.00	 0.97	 0.10	
618	 168	 0.40	 0.97	 0.10	
619	 249	 0.10	 0.97	 0.10	
620	 10	 0.96	 0.97	 0.10	
621	 250	 0.00	 0.97	 0.10	
622	 103	 0.63	 0.97	 0.10	
623	 250	 0.00	 0.97	 0.10	
624	 10	 0.96	 0.97	 0.10	
625	 35	 0.87	 0.97	 0.10	
626	 141	 0.49	 0.97	 0.10	
627	 95	 0.66	 0.97	 0.10	
628	 59	 0.79	 0.97	 0.10	
629	 250	 0.00	 0.97	 0.10	
630	 250	 0.10	 0.97	 0.10	
631	 67	 0.76	 0.97	 0.10	
632	 250	 0.00	 0.97	 0.10	
633	 250	 0.00	 0.97	 0.10	
634	 250	 0.00	 0.97	 0.10	
635	 50	 0.82	 0.97	 0.10	
636	 8	 0.97	 0.97	 0.10	
637	 250	 0.00	 0.97	 0.10	
638	 122	 0.56	 0.97	 0.10	
639	 30	 0.89	 0.97	 0.10	
640	 144	 0.48	 0.97	 0.10	
641	 67	 0.76	 0.97	 0.10	
642	 24	 0.91	 0.97	 0.10	
643	 250	 0.00	 0.97	 0.10	
644	 250	 0.00	 0.97	 0.10	
645	 250	 0.00	 0.97	 0.10	
646	 109	 0.61	 0.97	 0.10	
647	 250	 0.00	 0.97	 0.10	
648	 250	 0.00	 0.97	 0.10	
649	 250	 0.00	 0.97	 0.10	
650	 250	 0.00	 0.97	 0.10	
651	 250	 0.00	 0.97	 0.10	
652	 250	 0.00	 0.97	 0.10	
653	 250	 0.00	 0.97	 0.10	
654	 250	 0.00	 0.97	 0.10	
655	 250	 0.00	 0.97	 0.10	
656	 250	 0.00	 0.97	 0.10	
657	 250	 0.00	 0.97	 0.10	
658	 250	 0.00	 0.97	 0.10	
